1	561	596	511	513
2	145	387	152	373
3	196	307	180	298
4	220	239	211	378
5	172	298	234	326
6	197	351	226	321
7	204	351	216	308
8	179	304	203	329
9	245	301	209	320
10	291	347	269	354
11	310	420	260	350
12	310	440	230	350
13	330	440	230	360
14	282	390	296	372
15	368	451	301	355
16	326	440	271	350
17	371	490	267	360
18	270	370	280	390
19	360	490	240	340
20	250	380	210	350
21	330	460	259	350
22	260	370	220	350
23	320	440	140	330
24	300	460	270	350
25	291	382	262	350
26	301	383	270	360
27	296	392	310	390
28	302	385	170	380
29	307	400	260	363
30	302	400	230	360
31	303	393	306	390
32	305	400	300	362
33	293	384	338	392
34	282	394	271	370
35	360	410	228	350
36	302	460	214	350
37	322	426	202	342
38	319	430	220	370
39	330	429	270	390
40	332	457	236	370
41	350	440	252	380
42	310	408	246	360
43	323	430	392	480
44	301	407	440	510
45	390	420	353	450
46	360	440	320	390
47	329	470	230	370
48	328	440	306	400
49	390	440	349	450
50	360	450	320	410
51	278	400	250	410
52	370	421	320	410
53	380	423	340	430
54	390	450	350	420
55	360	460	310	430
56	360	420	310	400
57	370	450	260	390
58	420	450	384	443
59	370	410	310	410
60	420	470	376	457
61	349	450	432	503
62	337	393	399	510
63	438	540	366	470
64	330	460	393	470
65	280	450	425	510
66	353	460	419	510
67	270	440	393	480
68	310	460	455	530
69	340	450	459	540
70	320	480	374	451
71	310	460	532	596
72	330	440	524	590
73	374	460	493	542
74	330	510	521	584
75	353	470	339	500
76	382	480	340	470
77	320	490	374	441
78	330	480	539	620
79	375	510	370	500
80	383	500	463	523
81	400	540	527	595
82	360	490	534	594
83	340	490	587	640
84	380	490	393	490
85	400	510	380	490
86	390	500	379	550
87	387	473	526	580
88	320	520	539	610
89	385	530	513	590
90	358	490	519	580
