1	511	513	561	596
2	280	582	152	306
3	180	234	196	362
4	211	243	199	239
5	234	259	172	298
6	215	302	214	313
7	216	283	187	266
8	182	258	245	288
9	209	320	297	338
10	269	321	305	424
11	226	311	350	410
12	208	308	340	407
13	246	321	322	379
14	296	372	282	349
15	301	355	368	451
16	271	318	326	382
17	267	325	371	440
18	251	296	360	398
19	229	253	264	353
20	231	305	354	406
21	259	302	270	344
22	188	244	315	422
23	256	342	309	434
24	256	296	296	396
25	262	294	291	382
26	235	269	301	383
27	292	375	296	392
28	157	335	302	385
29	166	363	307	377
30	254	344	302	386
31	306	403	303	393
32	295	362	305	380
33	338	392	293	384
34	271	334	282	394
35	228	249	342	453
36	214	265	302	397
37	202	342	322	426
38	201	272	319	430
39	242	302	315	429
40	236	274	332	457
41	252	305	303	402
42	246	280	310	408
43	392	442	323	430
44	340	396	301	407
45	353	395	292	381
46	312	360	297	402
47	172	306	329	400
48	306	362	328	383
49	349	403	333	371
50	306	369	334	388
51	207	295	278	363
52	320	373	323	421
53	340	382	326	423
54	327	382	312	412
55	285	332	310	408
56	289	340	316	413
57	228	289	284	397
58	384	443	330	402
59	288	334	343	403
60	376	457	339	403
61	432	503	349	419
62	399	438	337	393
63	366	412	438	507
64	393	425	407	436
65	425	454	356	402
66	419	453	353	413
67	393	429	386	440
68	455	486	356	415
69	459	498	371	414
70	374	451	376	436
71	532	596	349	416
72	524	576	369	405
73	493	542	374	409
74	521	584	416	464
75	339	423	353	395
76	385	439	382	416
77	374	441	358	400
78	539	586	371	416
79	357	399	375	409
80	463	523	383	442
81	527	595	436	511
82	534	594	439	490
83	587	624	427	478
84	393	439	430	475
85	380	456	431	482
86	379	429	421	480
87	526	557	387	473
88	539	571	385	498
89	513	564	385	471
90	519	569	358	463
91	498	562	419	497
