1	151	467
2	281	541
3	88	523
4	15	325
5	172	348
6	198	338
7	149	306
8	174	384
9	207	341
10	229	570
11	213	498
12	199	481
13	311	436
14	248	388
15	236	412
16	295	444
17	237	530
18	216	461
19	198	410
20	321	593
21	244	584
22	286	462
23	305	548
24	253	565
25	236	482
26	286	559
27	198	516
28	214	498
29	233	478
30	214	496
31	218	508
32	237	490
33	246	481
34	238	497
35	322	504
36	288	544
37	327	455
38	336	468
39	362	556
40	311	469
41	324	506
42	314	496
43	303	536
44	288	475
45	298	482
46	266	492
47	301	508
48	236	548
49	247	518
50	288	496
51	272	531
52	283	526
53	323	559
54	287	566
55	322	504
56	349	588
57	271	567
58	336	498
59	272	506
60	363	609
61	402	532
62	287	471
63	388	534
64	314	504
65	301	539
66	340	523
67	293	591
68	190	547
69	301	512
70	342	528
71	392	567
72	330	543
73	377	556
74	213	494
75	326	528
76	299	522
77	326	511
78	354	531
79	440	576
80	320	498
81	318	551
82	344	461
83	321	501
84	256	489
85	255	550
86	387	527
87	322	501
88	377	530
89	451	579
90	462	553
