1	391	750	207	307	193	303
2	306	446	219	328	226	393
3	361	516	231	414	212	343
4	315	432	233	325	207	369
5	294	504	183	384	211	399
6	298	484	227	402	213	440
7	310	411	273	397	289	401
8	300	469	278	490	216	361
9	277	478	256	416	212	372
10	290	470	250	380	210	410
11	280	480	260	380	240	410
12	320	540	260	370	310	530
13	320	530	230	400	270	420
14	310	460	270	420	280	470
15	280	450	290	480	280	440
16	290	490	270	510	290	470
17	270	430	310	470	270	450
18	250	360	330	490	250	510
19	290	520	270	520	220	450
20	260	500	260	500	220	440
21	290	500	270	450	220	470
22	270	500	290	520	270	500
23	260	480	300	500	300	500
24	250	510	250	520	250	520
25	230	470	250	500	220	500
26	270	520	250	540	250	540
27	250	460	300	490	280	430
28	350	600	250	470	260	470
29	330	650	340	500	240	500
30	100	170	330	500	280	580
