0	662	667	151	467
1	353	425	281	541
2	135	349	88	523
3	163	308	15	325
4	171	351	172	348
5	170	372	198	338
6	167	400	149	306
7	185	319	174	384
8	188	329	207	341
9	198	355	229	570
10	230	350	213	498
11	200	290	199	481
12	250	280	311	436
13	210	370	248	388
14	260	320	236	412
15	250	310	295	444
16	230	290	237	530
17	400	440	216	461
18	230	340	198	410
19	350	410	321	593
20	350	430	244	584
21	240	330	286	462
22	390	440	305	548
23	420	480	253	565
24	400	470	236	482
25	370	450	286	559
26	350	430	198	516
27	320	440	214	498
28	330	440	233	478
29	240	360	214	496
30	370	460	218	508
31	370	440	237	490
32	320	440	246	481
33	370	440	238	497
34	320	440	322	504
35	430	500	288	544
36	410	480	327	455
37	390	480	336	468
38	360	440	362	556
39	330	410	311	469
40	420	530	324	506
41	390	480	314	496
42	350	440	303	536
43	380	460	288	475
44	410	470	298	482
45	370	460	266	492
46	330	430	301	508
47	390	470	236	548
48	350	450	247	518
49	370	480	288	496
50	460	530	272	531
51	370	460	283	526
52	350	440	323	559
53	130	150	287	566
54	430	520	322	504
55	410	490	349	588
56	430	510	271	567
57	330	420	336	498
58	420	510	272	506
59	410	510	363	609
60	420	520	402	532
61	390	460	287	471
62	360	470	388	534
63	390	480	314	504
64	380	490	301	539
65	390	490	340	523
66	390	490	293	591
67	390	490	190	547
68	360	460	301	512
69	410	490	342	528
70	390	530	392	567
71	420	510	330	543
72	400	500	377	556
73	420	510	213	494
74	380	480	326	528
75	420	520	299	522
76	410	500	326	511
77	410	500	354	531
78	440	550	440	576
79	440	550	320	498
80	470	530	318	551
81	420	520	344	461
82	380	490	321	501
83	430	500	256	489
84	450	520	255	550
85	480	570	387	527
86	460	520	322	501
87	450	520	377	530
88	410	520	451	579
89	430	500	462	553
